month,estimated_revenue,yhat_rounded,dynamic_price,revenue_proportion,target_revenue
January,116337.3,0.9893548387096774,3551.9032258064517,0.05134068788471408,127971.03000000003
February,53144.62,0.5003571428571428,3481.035714285714,0.023453194703433326,58459.08200000002
March,39127.92,0.39354838709677414,2698.7096774193546,0.01726750000471097,43040.712
April,293392.17,2.2756666666666665,3910.9,0.1294765808368337,322731.38700000005
May,136578.32,1.4680645161290322,2732.0967741935483,0.06027323050250094,150236.15200000003
June,49102.24,0.5573333333333333,2669.133333333333,0.021669256363009308,54012.464
July,134227.85,1.3183870967741935,2804.6451612903224,0.059235947132056696,147650.63500000004
August,97464.69,0.9290322580645162,2776.6129032258063,0.04301203680221574,107211.15900000001
September,62789.15,0.613,2733.633333333333,0.027709411793951682,69068.06500000002
October,354130.57,3.3158064516129033,3112.3870967741937,0.15628097836898305,389543.6270000001
November,321788.12,3.1373333333333333,3084.9333333333334,0.14200796678218353,353966.93200000003
December,607903.44,3.8722580645161293,4442.0,0.2682732088254069,668693.7840000001
